,district,latitude,longitude
1634,Kota Samarinda,-0.502183,117.153801
1635,Kota Tarakan,3.3,117.6333333
1636,Kota Bontang,0.1333333,117.5
1637,Kabupaten Bolaang Mongondow,0.6870994,124.0641419
1638,Kabupaten Minahasa,1,124.5833333
1639,Kabupaten Kepulauan Sangihe,3.5303212,125.5438967
1640,Kabupaten Kepulauan Talaud,4.092,126.768
1641,Kabupaten Minahasa Selatan,1.0946773,124.4641848
1642,Kabupaten Minahasa Utara,1.5327973,124.994751
1643,Kabupaten Bolaang Mongondow Utara,0.818691,123.5280072
1644,Kabupaten Siau Tagulandang Biaro,2.345964,125.4124355
1645,Kabupaten Minahasa Tenggara,1.0278551,124.7298765
1646,Kota Manado,1.4917014,124.842843
1647,Kota Bitung,1.4553529,125.204697
1648,Kota Tomohon,1.3234131,124.8384504
1649,Kota Kotamobagu,0.7333333,124.3166667
1650,Kabupaten Banggai Kepulauan,-1.6408137,123.5504076
1651,Kabupaten Banggai,-1.6408137,123.5504076
1652,Kabupaten Morowali,-2.3003072,121.5370003
1653,Kabupaten Poso,-1.391922,120.766998
1654,Kabupaten Donggala,-0.4233155,119.8352303
1655,Kabupaten Toli-Toli,0.8768231,120.7579834
1656,Kabupaten Buol,0.9695452,121.3541631
1657,Kabupaten Parigi Moutong,0.5817607,120.8039474
1658,Kabupaten Tojo Una-Una,-1.098757,121.5370003
1659,Kota Palu,-0.898583,119.850601
1660,Kabupaten Selayar,-6,120.5
1661,Kabupaten Bulukumba,-5.4329368,120.2051096
1662,Kabupaten Bantaeng,-5.5169316,120.0202964
1663,Kabupaten Jeneponto,-5.554579,119.6730939
1664,Kabupaten Takalar,-5.4162493,119.4875668
1665,Kabupaten Gowa,-5.3102888,119.742604
1666,Kabupaten Sinjai,-5.2171961,120.112735
1667,Kabupaten Maros,-4.94695,119.578903
1668,Kabupaten Pangkajene Dan Kepulauan,-4.805035,119.5571677
1669,Kabupaten Barru,-4.4172651,119.6730939
1670,Kabupaten Bone,-2.083333,120.216667
1671,Kabupaten Soppeng,-4.3518541,119.9277947
1672,Kabupaten Wajo,-4.022229,120.0665236
1673,Kabupaten Sidenreng Rappang,-3.7738981,120.0202964
1674,Kabupaten Pinrang,-3.793071,119.6408
1675,Kabupaten Enrekang,-3.563128,119.7612
1676,Kabupaten Luwu,-3.3052214,120.2512728
1677,Kabupaten Tana Toraja,-3.0753003,119.742604
1678,Kabupaten Luwu Utara,-2.2690446,119.9740534
1679,Kabupaten Luwu Timur,-2.5825518,121.1710389
1680,Kota Makassar,-5.1333333,119.4166667
1681,Kota Pare-Pare,-4.0166667,119.6236111
1682,Kota Palopo,-3,120.2
1683,Kabupaten Buton,-5.3096355,122.9888319
1684,Kabupaten Muna,-4.901629,122.6277455
1685,Kabupaten Konawe,-3.9380432,122.0837445
1686,Kabupaten Kolaka,-4.049665,121.593803
1687,Kabupaten Konawe Selatan,-4.2027915,122.4467238
1688,Kabupaten Bombana,-4.6543462,121.9017954
1689,Kabupaten Wakatobi,-5.3264442,123.5951925
1690,Kabupaten Kolaka Utara,-3.1347227,121.1710389
1691,Kabupaten Buton Utara,-4.7023424,123.0338767
1692,Kabupaten Konawe Utara,-3.3803291,122.0837445
1693,Kota Kendari,-3.972201,122.5149028
1694,Kota Bau-Bau,-5.46667,122.633
1695,Kabupaten Boalemo,0.7013419,122.2653887
1696,Kabupaten Gorontalo,0.5333333,123.0666667
1697,Kabupaten Pohuwato,0.7055278,121.7195459
1698,Kabupaten Bone Bolango,0.5657885,123.3486147
1699,Kabupaten Gorontalo Utara,0.9252647,122.4920088
1700,Kota Gorontalo,0.5333333,123.0666667
1701,Kabupaten Majene,-3.0297251,118.9062794
1702,Kabupaten Polewali Mandar,-3.3419323,119.1390642
1703,Kabupaten Mamasa,-2.960135,119.368202
1704,Kabupaten Mamuju,-2.7293364,118.9295737
1705,Kabupaten Mamuju Utara,-1.5264542,119.5107708
1706,Kabupaten Maluku Tenggara Barat,-7.5322642,131.3611121
